first name,surname,ID number,age,address,town,city,email,phone number,occupation,transaction timestamp,transaction amount,account type
Sandile,Ncube,8005116789123,41,999 Maple St,Welkom,Welkom,sandile.ncube@email.com,071-999-1111,Account Manager,2023-08-14 10:00:00,1800.00,Savings
Sandile,Ncube,8005116789123,41,999 Maple St,Welkom,Welkom,sandile.ncube@email.com,071-999-1111,Account Manager,2023-08-31 09:15:00,600.00,Checking
Lungelo,Khoza,9604255678123,25,111 Pine St,Port Shepstone,Port Shepstone,lungelo.khoza@email.com,083-111-3333,Investment Consultant,2023-08-16 12:45:00,1400.00,Savings
Lungelo,Khoza,9604255678123,25,111 Pine St,Port Shepstone,Port Shepstone,lungelo.khoza@email.com,083-111-3333,Investment Consultant,2023-08-31 11:30:00,900.00,Checking
Thandiwe,Nkomo,9308234567123,28,222 Oak St,Middelburg,Middelburg,thandiwe.nkomo@email.com,079-222-5555,Financial Coordinator,2023-08-17 15:30:00,1900.00,Savings
Thandiwe,Nkomo,9308234567123,28,222 Oak St,Middelburg,Middelburg,thandiwe.nkomo@email.com,079-222-5555,Financial Coordinator,2023-08-31 13:00:00,400.00,Checking
Zanele,Mthembu,8903075678123,32,333 Elm St,Klerksdorp,Klerksdorp,zanele.mthembu@email.com,082-333-8888,Stock Analyst,2023-08-19 11:15:00,1600.00,Savings
Zanele,Mthembu,8903075678123,32,333 Elm St,Klerksdorp,Klerksdorp,zanele.mthembu@email.com,082-333-8888,Stock Analyst,2023-08-31 14:45:00,300.00,Checking
Sanele,Khumalo,8206106789123,41,444 Maple St,Uitenhage,Uitenhage,sanele.khumalo@email.com,084-444-2222,Investment Strategist,2023-08-21 09:30:00,2200.00,Savings
Sanele,Khumalo,8206106789123,41,444 Maple St,Uitenhage,Uitenhage,sanele.khumalo@email.com,084-444-2222,Investment Strategist,2023-08-31 16:30:00,800.00,Checking
Lindiwe,Majola,9101194567123,31,555 Pine St,Vereeniging,Vereeniging,lindiwe.majola@email.com,071-555-7777,Financial Controller,2023-08-23 14:00:00,1800.00,Savings
Lindiwe,Majola,9101194567123,31,555 Pine St,Vereeniging,Vereeniging,lindiwe.majola@email.com,071-555-7777,Financial Controller,2023-08-31 10:15:00,600.00,Checking
Siphiwe,Ntuli,8507035678123,36,666 Oak St,George,George,siphiwe.ntuli@email.com,079-666-0000,Economist,2023-08-25 12:30:00,1500.00,Savings
Siphiwe,Ntuli,8507035678123,36,666 Oak St,George,George,siphiwe.ntuli@email.com,079-666-0000,Economist,2023-08-31 14:00:00,500.00,Checking
Mandla,Maseko,8004154567123,42,777 Elm St,Paarl,Paarl,mandla.maseko@email.com,083-777-3333,Financial Manager,2023-08-27 16:45:00,1400.00,Savings
Mandla,Maseko,8004154567123,42,777 Elm St,Paarl,Paarl,mandla.maseko@email.com,083-777-3333,Financial Manager,2023-08-31 11:30:00,900.00,Checking
Nkosinathi,Nkosi,9306285678123,28,888 Maple St,Springs,Springs,nkosinathi.nkosi@email.com,082-888-6666,Data Analyst,2023-08-29 09:15:00,1600.00,Savings
Nkosinathi,Nkosi,9306285678123,28,888 Maple St,Springs,Springs,nkosinathi.nkosi@email.com,082-888-6666,Data Analyst,2023-08-31 10:45:00,700.00,Checking
